Probe_Set_ID,Gene_Symbol
8528_at,AUS1
8534_at,ERP4
8546_at,CIN5
8549_at,HRD1
8560_at,IZH2
8563_at,ALG6
8574_at,MSE1
8577_at,GAS5
8584_at,IFM1
8588_at,YOL019W
8612_at,RPS15
8623_at,YOL075C
8631_at,RIB2
8645_at,YOL098C
8653_at,MSH2
8669_at,MCH4
8702_at,GAS4
8704_at,ALR1
8718_at,YOL163W
8719_at,YOL162W
8720_f_at,PAU18 
8723_at,ENB1
8786_f_at,PAU1 
8801_at,MVD1
8805_at,FPK1
8812_at,NOG2
8819_at,FRE4
8830_at,BUD17
8833_at,ALG12
8887_at,ASI3
8903_at,GPI15
8914_at,MSK1
8915_at,RNH201
8919_at,FKH2
8976_at,AVT4
8987_at,FPR1
8997_at,ESBP6
9014_at,YCK2
9015_at,GIM3
9035_at,RPS3
9069_at,YNL190W
9094_s_at,SSB1 
9100_at,MPA43
9107_at,ATG2
9111_at,YTP1
9119_at,BOR1
9124_at,ALP1
9160_at,PRM1
9173_at,SKP2
9197_s_at,SNO2 
9284_at,FET4
9286_s_at,SAM4 
9287_s_at,HSP32 
9288_s_at,ERR1 
9290_f_at,PAU19
9307_at,ATM1
9310_at,UBP15
9315_at,GAS1
9328_at,YMR279C
9342_at,GOT1
9349_at,GFD1
9367_at,ZDS1
9377_at,DFG5
9381_s_at,RPL20A 
9382_at,ZRC1
9392_at,YMR253C
9397_at,GAS3
9406_at,MRE11
9424_at,VTI1
9436_at,YMR209C
9447_at,MMT1
9453_at,SSO2
9463_at,NUP53
9474_at,DNF3
9477_at,PAH1
9482_g_at,ALD2 
9491_at,PSO2
9503_at,OSW5
9527_at,ECM16
9539_at,MTG1
9548_at,YKU80
9552_at,HFD1
9557_at,ABF2
9575_at,ARG80
9580_at,ERB1
9584_at,STV1
9588_at,FET3
9591_at,RNA14
9605_at,TAP42
9616_at,CCS1
9637_at,ERG5
9669_at,VPS71
9670_at,YMD8
9711_at,UFO1
9719_at,DUS1
9761_at,TUB3
9771_at,ATR1
9800_s_at,YBL111C 
9825_s_at,YLR154C-H 
9854_at,HMG2
9865_f_at,PAU4
9868_at,COX19
9890_s_at,RPS1A 
9930_at,COX8
9939_at,SEI1
9967_at,GAS2
9971_at,KAP95
9989_at,MMS22
10005_at,NUP2
10006_at,SGD1
10010_at,ATP14
10015_at,EXG1
10021_at,UBC12
10028_at,SPH1
10031_at,TAD3
10033_at,SMD2
10046_at,YLR287C
10050_at,COQ11
10065_at,YPT6
10085_at,THI7
10090_at,ARV1
10101_at,PNP1
10106_at,FRE1
10107_at,CDC123
10118_at,BUR2
10124_at,ATG26
10128_at,UPS1
10135_at,YKE2
10148_at,UPS2
10156_at,RFX1
10157_at,YLR177W
10160_at,SAM1
10167_at,EMG1
10174_at,ACF2
10177_at,SMD3
10178_at,PEP3
10188_at,MAS1
10189_at,SHH4
10193_at,YPS1
10204_at,ZRT2
10206_at,USB1
10212_at,NHA1
10218_at,ICT1
10236_at,CLF1
10237_at,YLR118C
10242_at,BOS1
10248_at,RAX2
10256_at,SUL2
10257_at,NYV1
10263_at,OSW2
10266_at,MNL2
10273_at,PER33
10274_at,ENV10
10280_at,RGR1
10287_at,MLH2
10300_f_at,RPS0B
10301_at,RPS0B
10309_at,GAT3
10313_at,MEU1
10319_at,IZH3
10320_at,UBR2
10323_at,AAT2
10328_at,BPT1
10332_at,SOF1
10346_at,THI73
10348_at,SSK1
10349_at,NSE1
10351_at,GRC3
10358_at,TPO1
10363_at,POM33
10365_at,SPA2
10377_at,YLL053C
10378_at,AQY2
10416_at,GTT2
10435_at,HSK3
10447_s_at,PTK1
10465_at,PRP16
10470_at,SRL3
10479_at,UBP11
10485_at,YKR104W
10504_at,TRZ1
10511_at,GAP1
10514_at,UTH1
10515_at,SHB17
10522_at,TRK2
10532_at,KTR2
10538_at,ALY1
10541_at,DBP7
10561_at,MRP17
10577_at,YPT52
10596_at,CCE1
10597_at,UFD4
10615_at,AIM26
10625_at,YKL071W
10628_at,NUP100
10629_at,YNK1
10632_at,MNR2
10639_at,NUP120
10645_at,ASK1
10647_at,BUD2
10658_at,TEF4
10659_at,TEF4
10660_at,VMA5
10661_at,SMY1
10662_at,DHR2
10678_at,AAT1
10683_at,HSL1
10694_at,1-Oct
10701_at,PGM1
10709_at,OAC1
10718_at,RSM22
10724_at,DBR1
10728_at,RPT1
10732_at,SDH3
10744_at,ZRT3
10748_at,NNK1
10751_at,KKQ8
10776_at,FAT3
10778_at,ASH1
10779_at,SPE1
10792_at,FRE2
10793_at,COS9
10796_at,URA1
10805_at,EMC3
10833_at,QCR8
10838_at,VTC4
10856_at,YJR154W
10900_at,YJR107W
10902_at,CPA2
10925_at,STE18
10938_at,YUH1
10941_at,VPS25
10950_at,TOR1
10961_at,MIR1
10971_at,NUP85
10977_at,CYC1
11000_at,LSM8
11003_at,BNA1
11005_at,GEA1
11006_at,CPR7
11034_at,HCA4
11042_at,RRN7
11056_at,VTC4
11059_at,PEP8
11072_at,NSP1
11073_at,NUP192
11077_at,TAD2
11081_at,NET1
11085_at,PSF2
11094_at,MRPL8
11095_at,LAS21
11096_at,NUP82
11098_at,YHC3
11107_at,BCK1
11109_at,TOK1
11114_at,ARG3
11118_at,ALY2
11128_at,RPE1
11133_at,NCA3
11137_at,GZF3
11138_at,UTP10
11144_at,GSM1
11155_at,YUR1
11162_at,MRS3
11163_at,YJL132W
11165_at,URA2
11166_at,TRK1
11172_at,QCR8
11183_at,FBP26
11184_at,VPS35
11194_at,MNN5
11209_at,KRE9
11223_at,PRP21
11229_at,UBP12
11233_at,YJL193W
11258_at,HXT8
11259_at,YJL213W
11288_at,YAR023C
11290_at,YAR028W
11291_at,YAR029W
11293_at,PRM9
11312_at,SPO7
11315_i_at,SSA1 
11317_s_at,SSA1 
11324_at,NUP60
11330_at,ADE1
11331_at,KIN3
11336_at,SNC1
11337_at,SNC1
11344_at,PMT2
11356_at,ACS1
11357_at,FLC2
11376_at,MTW1
11377_at,FUN19
11379_at,SEO1
2118_at,TRA1
2120_s_at,TRA1
2121_s_at,TRA1
2122_s_at,TRA1
2123_s_at,TRA1
2124_s_at,TRA1
2125_s_at,TRA1
2127_s_at,TRA1
2128_s_at,TRA1
2129_s_at,TRA1
2173_g_at,YOR1
2176_s_at,YOR1
2189_at,NUP49
2191_s_at,NUP49
2202_g_at,SPC105
2203_s_at,SPC105
2204_s_at,SPC105
2208_s_at,GSC2
2214_at,UTP22
2278_at,GEA2
2280_s_at,GEA2
2281_s_at,GEA2
2282_s_at,GEA2
2283_s_at,GEA2
2340_at,YDR444W
2342_s_at,YDR444W
2345_s_at,TOM1
2348_s_at,TOM1
2349_s_at,TOM1
2360_g_at,TRM3
2361_s_at,TRM3
2363_s_at,TRM3
2364_s_at,TRM3
2365_at,USO1
2367_s_at,USO1
2368_s_at,USO1
2369_s_at,USO1
2370_s_at,USO1
2397_at,CDC39
2399_s_at,CDC39
2400_s_at,CDC39
2401_s_at,CDC39
2402_s_at,CDC39
2403_s_at,CDC39
2404_s_at,CDC39
2432_at,KCC4
2438_at,BPH1
2439_g_at,BPH1
2440_s_at,BPH1
2441_s_at,BPH1
2442_s_at,BPH1
2443_s_at,BPH1
2445_s_at,BPH1
2446_at,NUP170
2447_g_at,NUP170
2448_s_at,NUP170
2449_s_at,NUP170
2450_s_at,NUP170
2473_s_at,MEC1
2476_s_at,MEC1
2477_s_at,MEC1
2489_at,NCR1
2491_s_at,NCR1
2492_f_at,NCR1
2561_at,SWI1
2562_g_at,SWI1
2563_s_at,SWI1
2564_s_at,SWI1
2566_s_at,SWI1
2575_s_at,YPK9
2576_s_at,YPK9
2577_s_at,YPK9
2578_s_at,YPK9
2598_g_at,SAM3
2599_s_at,SAM3
2600_s_at,SAM3
2612_g_at,YPL216W
2613_s_at,YPL216W
2614_s_at,YPL216W
2636_at,RPT5
2640_at,PDR5
