From,To
Q99271,NHA1
Q05785,ENT2
P25637,YIH1
P36143,GLG1
P27472,GSY2
Q06625,GDB1
P46669,RPA43
Q03532,HAS1
Q12339,UTP23
P28274,URA7
P38703,LAG1
P28737,MSP1
P29055,SUA7
P29340,PEX4
P38843,CHS7
P38125,DTR1
Q12372,MMP1
P31383,TPD3
P31384,CCR4
P32263,PRO3
P32264,PRO1
P32347,HEM12
P32364,SMY1
P32381,ARP2
Q12156,AIM7
P32448,ASF2
P53379,MKC7
P32469,DPH5
P32492,MYO4
P36068,SHE2
P38272,SHE3
P32499,NUP2
P47054,NUP192
P42949,PAM16
Q02776,TIM50
Q01852,TIM44
P32897,TIM23
Q07914,PAM18
P39515,TIM17
P53220,TIM21
P36147,PAM17
P07807,DFR1
P36046,MIA40
P48563,MON2
P32502,GCD7
P32505,NAB2
P32558,SPT16
P38312,ERV15
P32566,SMI1
P32599,SAC6
P32622,YEF1
P32771,SFA1
P32784,SCT1
P32794,AFG2
P32802,EMP70
P32831,NGR1
D6VTK4,STE2
P32844,SEC6
P32858,AIM26
P32432,SFP1
P36017,VPS21
P36018,YPT52
P38063,PRS4
P38620,PRS2
P32906,MNS1
P12868,PEP5
P40959,MVP1
P32939,YPT7
P38764,RPN1
P33300,SUR1
P48362,HGH1
P33313,CNS1
P33328,SNC2
P33333,SLC1
P33338,SLA2
P33767,WBP1
P34160,STO1
Q08920,CBC2
P34217,PIN4
P42938,TDA10
P35182,PTC1
Q3E767,YNL067W-B
P35189,TAF14
P11747,TAF13
P38323,MCX1
P35718,RPC25
P04051,RPO31
P33891,TIP20
P39108,PEX7
P53010,PAN2
P36009,DHR2
P36010,YNK1
P53135,SLD3
P36014,GPX1
P36041,EAP1
P36048,SNU114
P35194,UTP20
P36049,EBP2
P37838,NOP4
P38202,YBL028C
Q12754,RRP12
P36051,MCD4
P36060,MCR1
P36095,VPS24
P36107,AUR1
P36108,DID4
P36132,KAE1
P53323,BUD32
P36148,GPT2
P37020,GEF1
P37261,FRM2
P37296,STV1
P38066,RIB1
P38067,UGA2
P38089,PTC4
Q12133,SPC3
P38090,AGP2
P38126,PCH2
P38137,PCS60
P38145,RIB5
P38146,YPT10
P38153,APM3
P40527,NEO1
P38195,ECM13
P38203,LSM2
P38206,RFT1
P38211,GPI18
P38216,YBR016W
P38227,QDR3
P38236,MUM2
Q06680,YCG1
P38260,FES1
P38261,EXO84
Q06245,SEC10
Q06328,YPQ2
Q12407,YDL199C
P38314,SDS24
P53251,SLX9
P38333,ENP1
P38342,TSC10
P38555,YPT31
P38626,CBR1
P38635,HIS2
P38688,SRP72
P25302,SWI4
P38699,STB5
P38715,GRE3
P25366,OCA4
P38738,OCA5
P38749,YAP3
P38755,OSH7
P38759,VPS29
Q03940,RVB1
P38768,PIH1
P38784,VMA22
P38787,PAN5
P38792,RRP4
P38795,QNS1
P38824,COX23
P38828,LSM12
P38839,SPL2
P38850,RTT107
P38852,LIN1
P38865,CTR2
P38880,MDM31
P38903,RTS1
P38920,MLH1
Q07350,PRP11
P38954,IPT1
P38962,TVP23
P38986,ASP1
P38988,GGC1
P39002,FAA3
P39079,CCT6
P39083,RGA1
P53905,LSM7
Q12517,DCP1
P39520,IFH1
P39525,CEM1
P39676,YHB1
P39742,SEC72
P39904,VPS52
P39996,GTT3
P40007,NOP16
P40018,SMB1
P38757,NEM1
P40037,HMF1
P40055,UTP7
P40061,TSC11
P40072,SLX8
P40088,FTR1
P11938,RAP1
P32591,SWI3
P18888,SNF6
P46677,TAF1
P13393,SPT15
Q03761,TAF12
P22082,SNF2
Q07471,THI3
P38141,THI2
P32896,PDC2
P32642,GRX4
